number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
85,AG2306.SHF,20221212,5277.0,5255.0,5271.0,5377.0,5267.0,5327.0,5309.0,72.0,54.0,286494.0,2281605.06,356887.0,10931.0,
86,AG2306.SHF,20221209,5184.0,5158.0,5184.0,5306.0,5181.0,5277.0,5255.0,119.0,97.0,240787.0,1898336.77,345956.0,11792.0,
87,AG2306.SHF,20221208,5119.0,5125.0,5128.0,5193.0,5112.0,5184.0,5158.0,59.0,33.0,202091.0,1563793.0,334164.0,8312.0,
88,AG2306.SHF,20221207,5128.0,5172.0,5160.0,5168.0,5091.0,5119.0,5125.0,-53.0,-47.0,197223.0,1516426.54,325852.0,2091.0,
89,AG2306.SHF,20221206,5259.0,5264.0,5240.0,5256.0,5120.0,5128.0,5172.0,-136.0,-92.0,289585.0,2246641.09,323761.0,866.0,
90,AG2306.SHF,20221205,5248.0,5173.0,5209.0,5378.0,5164.0,5259.0,5264.0,86.0,91.0,411023.0,3245483.38,322895.0,2389.0,
91,AG2306.SHF,20221202,5129.0,5049.0,5124.0,5266.0,5111.0,5248.0,5173.0,199.0,124.0,260823.0,2024005.65,320506.0,18813.0,
92,AG2306.SHF,20221201,4949.0,4966.0,4982.0,5137.0,4970.0,5129.0,5049.0,163.0,83.0,258128.0,1955280.27,301693.0,16848.0,
93,AG2306.SHF,20221130,4959.0,4973.0,4960.0,4994.0,4947.0,4949.0,4966.0,-24.0,-7.0,131764.0,981526.4,284845.0,4972.0,
94,AG2306.SHF,20221129,4966.0,4963.0,4980.0,5037.0,4932.0,4959.0,4973.0,-4.0,10.0,211781.0,1580062.1,279873.0,14233.0,
95,AG2306.SHF,20221128,4983.0,4982.0,4979.0,5000.0,4944.0,4966.0,4963.0,-16.0,-19.0,126260.0,939958.55,265640.0,14939.0,
96,AG2306.SHF,20221125,4990.0,4959.0,5000.0,5001.0,4961.0,4983.0,4982.0,24.0,23.0,91635.0,684916.73,250701.0,11385.0,
97,AG2306.SHF,20221124,4904.0,4883.0,4910.0,5018.0,4893.0,4990.0,4959.0,107.0,76.0,141563.0,1053183.76,239316.0,24697.0,
98,AG2306.SHF,20221123,4878.0,4873.0,4900.0,4911.0,4862.0,4904.0,4883.0,31.0,10.0,69748.0,510871.04,214619.0,9892.0,
99,AG2306.SHF,20221122,4844.0,4863.0,4834.0,4907.0,4827.0,4878.0,4873.0,15.0,10.0,99564.0,727801.33,204727.0,13738.0,
100,AG2306.SHF,20221121,4899.0,4894.0,4901.0,4915.0,4826.0,4844.0,4863.0,-50.0,-31.0,96725.0,705700.05,190989.0,7442.0,
101,AG2306.SHF,20221118,4950.0,4955.0,4920.0,4926.0,4858.0,4899.0,4894.0,-56.0,-61.0,109047.0,800559.78,183547.0,5064.0,
102,AG2306.SHF,20221117,4957.0,4966.0,4998.0,5011.0,4910.0,4950.0,4955.0,-16.0,-11.0,99640.0,740649.52,178483.0,8412.0,
103,AG2306.SHF,20221116,4994.0,4985.0,4994.0,5028.0,4915.0,4957.0,4966.0,-28.0,-19.0,94959.0,707424.67,170071.0,3431.0,
104,AG2306.SHF,20221115,4914.0,4953.0,4931.0,5020.0,4926.0,4994.0,4985.0,41.0,32.0,82580.0,617577.74,166640.0,9456.0,
105,AG2306.SHF,20221114,5029.0,5023.0,4988.0,5005.0,4889.0,4914.0,4953.0,-109.0,-70.0,102090.0,758600.93,157184.0,13898.0,
